1,스파,35,서울 노원구 상계동 666-3 주공10단지종합상가111
2,부일카서비스,34,부산 동구 범일동 830-195번지
3,일등복권편의점,23,대구 달서구 본리동 2-16번지 1층
4,세진전자통신,16,대구 서구 평리동 1094-4번지
5,로또휴게실,14,경기 용인시 기흥구 보라동 378-1
6,GS25(양산혜인점),12,경남 양산시 평산동 31-5번지
7,목화휴게소,12,경남 사천시 용현면 주문리 4
8,로또명당인주점,11,충남 아산시 인주면 신성리 188-8
9,잠실매점,10,서울 송파구 신천동 7-18번지 잠실역 8번출구 앞 가판
10,제이복권방,10,서울 종로구 종로5가 58번지 평창빌딩 1층 103호
11,갈렙분식한식,9,서울 중랑구 망우동 490-13번지
12,라이프마트,9,인천 중구 항동7가 58-98번지 5호
13,버스판매소,9,서울 영등포구 영등포동4가 440번지 신세계앞
14,북마산복권전문점,9,경남 창원시 마산합포구 상남동 39-4번지
15,행운복권방,9,경기 포천시 소흘읍 송우리 128-2
16,CU노서점,8,경북 경주시 노서동 178-12 1층 CU 노서점 내
17,가판점(신문),8,서울 영등포구 당산동6가 331-1번지
18,뉴빅마트,8,부산 기장군 정관읍 매학리 748-6번지 테라스상가1층119호
19,마두역상행선 가판대,8,경기 고양시 일산동구 장항동 893 마두역상행선가판대
20,묵동식품,8,서울 중랑구 묵동 238-11번지
21,영광정보통신,8,서울 성북구 하월곡동 37-18번지
22,올인(allin),8,경기 화성시 향남읍 장짐리 273-3
23,행복충전소,8,경기 평택시 지산동 755-1
24,월드24시,8,서울 은평구 갈현동 398-1번지
25,CU(대림중앙점),7,서울 영등포구 대림동 775-7번지 1층
26,김포로또,7,경기 김포시 사우동 944번지 한솔프라자101
27,또또복권방,7,전북 익산시 영등동 827-3번지
28,복권명당(서부점),7,대구 달서구 송현동 195-2번지
29,복권전문점,7,인천 부평구 청천동 236-20번지
30,영화유통(1등복권방),7,울산 남구 달동 758번지 삼성아파트 상가 204-101
31,천하명당복권방,7,경기 수원시 팔달구 매산로1가 58-20
32,종합가판점,7,서울 동대문구 전농동 620-69 청량리역 4번출구 가판점
33,NG24,6,경북 칠곡군 석적읍 중리 86-8번지
34,노다지복권방,6,경기 용인시 처인구 마평동 735-1번지
35,대박천하마트,6,인천 부평구 갈산동 367번지
36,데이앤나잇,6,서울 성북구 종암동 132 종암우림카이저팰리스 1층 101호
37,돈벼락맞는곳,6,부산 동구 범일동 833-5번지
38,로또(파발마점),6,경기 시흥시 정왕동 2302번지 역전프라자105호
39,마두5번출구가판로또,6,경기 고양시 일산동구 마두동 798-1
40,명당골복권방,6,경기 수원시 권선구 권선동 1295-3 104호
41,바이더웨이녹번중앙점,6,서울 은평구 녹번동 155-20번지
42,복권백화점,6,경기 파주시 금촌동 329-135번지
43,소리창고,6,서울 강서구 내발산동 677-10번지
44,썬마트,6,충북 청주시 흥덕구 복대동 2719번지
45,아이러브마트복권방,6,울산 중구 태화동 22-25
46,알리바이(나주점),6,전남 나주시 금성동 2-2번지 알리바이
47,종합복권방,6,전남 해남군 해남읍 해리 189-2
48,팡팡복권마트.잡화슈퍼,6,전북 전주시 덕진구 금암동 460-30번지
49,행복한사람들 (흥부네),6,경기 광주시 곤지암읍 삼리 399-18번지
50,행운의집,6,경북 안동시 북문동 23-7번지
51,황금로또,6,강원 원주시 태장동 1390-16 1층
52,25시슈퍼,5,경기 시흥시 정왕동 1882-11번지 홍익프라자1층107호
53,GS25(대전시네마점),5,대전 서구 괴정동 423-19번지 1층
54,가판,5,서울 마포구 도화동 169-1번지 가든호텔정문옆가판
55,경성식품,5,서울 동대문구 휘경동 192-5번지
56,광성슈퍼,5,경기 이천시 단월동 509-4
57,교통카드충전소,5,경기 고양시 덕양구 화정동 1098번지 화정역 2번출구
58,구산복권방,5,경남 김해시 구산동 481-3 보보스빌딩 107호
59,권선로또복권방,5,경기 수원시 권선구 탑동 843-4 천림빌딩102호
60,까치복권방,5,경기 시흥시 정왕동 1782-18번지 1층102
61,다니엘사,5,경기 안산시 단원구 초지동 796 101호
